"idTintuc","name","hinhanh","day","hour","created_at","updated_at"
14,"PHINDI CASSIA - QUẾ ẤM PHIN ÊM, PHONG VỊ ĐỘC ĐÁO",Tintuc/tt2.png,"2024-06-14","16:49:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
15,MỪNG QUỐC TẾ THIẾU NHI 1.6 - CÙNG ĐI HIGHLANDS CÓ KEMDI NGON CHO CẢ NHÀ,Tintuc/tt3.jpg,"2024-05-30","16:08:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
16,AI SẼ LÀ CHỦ NHÂN CỦA TẤM VÉ MALDIVES ĐẦU TIÊN?,Tintuc/tt4.png,"2024-05-15","22:06:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
17,"RINH VÉ MALDIVES, RA KHƠI CHILL HÈ CÙNG HIGHLANDS THÔI!",Tintuc/tt5.jpg,"2024-05-03","12:15:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
18,CHILL HÈ! CÓ TRÂN CHÂU TRẮNG,Tintuc/tt6.jpg,"2024-04-22","16:44:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
19,CHILL HÈ THÊM VUI VỚI BỘ ĐÔI DÂU TẰM: FREEZE KEM MÂY & TRÀ NGỌC TRAI THẬT NGON!,Tintuc/tt7.jpg,"2024-04-15","12:07:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
20,"100% Thắng - Maldives May Mắn Nhiều Tuần",Tintuc/tt8.png,"2024-04-09","14:43:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
21,THANH MÁT DÂU TẰM! BỘ ĐÔI FREEZE KEM MÂY & TRÀ NGỌC TRAI ĐÃ CẬP BẾN,Tintuc/tt9.jpg,"2024-03-31","12:00:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
22,[TẾT MÀ] CHỦ NHÂN SIÊU XE BẠC TỶ ĐÃ LỘ DIỆN,Tintuc/tt10.jpg,"2024-02-27","12:27:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
23,LỊCH HOẠT ĐỘNG TẾT NGUYÊN ĐÁN 2024 CỦA HIGHLANDS COFFEE TRÊN TOÀN QUỐC,Tintuc/tt11.jpg,"2024-01-25","11:28:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
24,"Tết mà! TẶNG VẠN THẺ VÀNG, RƯỚC XE BẠC TỶ",Tintuc/tt12.jpg,"2024-01-05","19:10:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
25,"24 NĂM CHÚNG MÌNH, HIGHLANDS CÓ PHIN SỮA ĐÁ 19K",Tintuc/tt13.jpg,"2023-11-03","14:39:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
26,"THƠM QUẢ MỌNG, NGỌT ANH ĐÀO! BỘ ĐÔI TRÀ & FREEZE",Tintuc/tt14.png,"2023-11-15","15:42:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
27,ĐIỀU KHOẢN SỬ DỤNG ĐỐI VỚI THẺ HIGHLANDS COFFEE,Tintuc/tt15.png,"2023-10-26","19:10:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
28,CHƯƠNG TRÌNH THÀNH VIÊN HIGHLANDS COFFEE ĐÃ CHÍNH THỨC CÓ MẶT,Tintuc/tt16.png,"2023-10-15","08:00:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
29,"KEMDI, THẾ HỆ KEM MỚI CỦA HIGHLANDS COFFEE",Tintuc/tt17.jpg,"2023-11-15","15:42:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
30,HIGHLANDS COFFEE MIỄN PHÍ GIAO HÀNG | GỌI NGAY 1900 1755,Tintuc/tt18.jpg,"2023-10-09","22:55:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
31,"ĐẦU TƯ GẦN 500 TỶ XÂY NHÀ MÁY RANG XAY MỚI CHUẨN QUỐC TẾ, HIGHLANDS COFFEE ĐƯA CÀ PHÊ",Tintuc/tt19.jpg,"2023-09-15","18:04:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
32,[HIGH-PATCH] HÉ LỘ CẶP ĐÔI MỚI CỦA LY-BIZ,Tintuc/tt20.png,"2023-08-04","00:00:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
33,CHILL HÈ HẾT GA CÙNG DEAL LÊN TỚI 40% CỦA HIGHLANDS COFFEE! ☀️,Tintuc/tt21.png,"2023-08-04","00:00:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
34,PHINDI HẠT DẺ CƯỜI - HÉ MỞ NỤ CƯỜI!,Tintuc/tt22.jpg,"2023-05-17","12:09:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
35,MỚI! TRÀ TUYẾT HIGHLANDS COFFEE,Tintuc/tt23.jpg,"2023-09-15","18:04:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
36,TRI ÂN KHÁCH HÀNG – HIGHLANDS COFFEE,Tintuc/tt24.jpg,"2023-05-17","12:09:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
37,"VỊ COOL SẢNG KHOÁI, TRÀ DƯA HẤU VẢI",Tintuc/tt25.jpg,"2023-05-04","15:37:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
38,MẠNH MẼ LÀM ĐIỀU MÌNH YÊU!,Tintuc/tt26.png,"2023-05-04","15:37:00","2024-07-05 15:12:58","2024-07-05 15:12:58"
